sample_name,x,y,z,r,g,b
F1S4_160106_040_C01,3.3945162,-1.622217,0.37975895,0.31986138022338856,0.28992163016295547,1.0
F1S4_160106_040_E01,3.0074599,-2.1515977,1.2568828,0.41587772778230014,0.295596348926896,1.0
F1S4_160106_040_F01,-0.7086625,0.058493927,1.6934865,1.0,0.25572832279875246,0.4760063190392225
F1S4_160106_040_H01,-1.2962875,-1.1147434,-0.30641815,1.0,0.3373796031870022,0.3326952827850527
F1S4_160106_041_A01,-1.7341391,-3.3398373,4.35845,0.18064387085652425,1.0,0.2992979742094791
F1S4_160106_041_B01,-0.30037177,0.3665599,-1.266043,1.0,0.25572832279875246,0.4760063190392225
F1S4_160106_041_C01,3.3444245,-2.5937033,1.9928064,0.41587772778230014,0.295596348926896,1.0
F1S4_160106_041_D01,-1.1592412,-0.96787035,-2.2352743,1.0,0.3373796031870022,0.3326952827850527
F1S4_160106_041_F01,1.082637,-1.5752962,2.1913104,0.20184020243018944,0.42412570409940353,1.0
F1S4_160106_041_H01,-0.7665164,0.18569174,-4.817887,1.0,0.3373796031870022,0.3326952827850527
F1S4_160106_042_A01,-2.1508195,-3.710541,4.5943775,0.26837643626766045,1.0,0.3688151106171106
F1S4_160106_042_B01,-0.3381395,0.5049097,-1.2698699,1.0,0.25572832279875246,0.4760063190392225
F1S4_160106_042_C01,-0.9255746,-0.07825283,-2.5129468,1.0,0.3373796031870022,0.3326952827850527
F1S4_160106_042_E01,3.3610559,-2.125562,1.1705992,0.402092144478307,0.30093117562096483,1.0
F1S4_160106_042_F01,0.0076058637,2.2607899,-4.4478726,1.0,0.3373796031870022,0.3326952827850527
F1S4_160106_043_B01,0.5294877,1.7337503,1.123285,0.402092144478307,0.30093117562096483,1.0
F1S4_160106_043_C01,-0.30168545,0.18011041,-1.7005455,1.0,0.3373796031870022,0.3326952827850527
F1S4_160106_043_E01,-0.8652127,-1.2640873,0.23563239,0.46845224494279614,0.49825934905230784,1.0
F1S4_160106_043_F01,-0.71089125,0.8194847,-3.6423333,1.0,0.3373796031870022,0.3326952827850527
F1S4_160106_043_G01,3.3132563,-1.4841579,0.23949154,0.3284121381643084,0.303365501051284,1.0
F1S4_160106_043_H01,-1.2588236,-1.0441837,0.907633,1.0,0.3373796031870022,0.3326952827850527
F1S4_160106_044_B01,2.0230289,-1.6734719,2.1028936,0.20184020243018944,0.42412570409940353,1.0
F1S4_160106_044_C01,3.5806704,-2.2879224,1.057177,0.24636535773767207,0.3687927528296858,1.0
F1S4_160106_044_D01,2.7737222,-0.6959104,-0.42547467,0.4509751858900062,0.16211762544093464,1.0
F1S4_160106_044_E01,2.8994558,-2.3296847,1.4564018,0.3893506178451055,0.266832759059094,1.0
F1S4_160106_044_G01,-0.56883645,0.32641757,-2.1243563,1.0,0.3373796031870022,0.3326952827850527
F1S4_160106_044_H01,2.0655932,-0.4669783,-0.50290686,0.46845224494279614,0.49825934905230784,1.0
F1S4_160106_045_A01,-1.2815005,-2.9661694,2.4922118,0.34266660291184864,1.0,0.28067572842846145
F1S4_160106_045_B01,3.4207006,-2.6119082,1.981247,0.41587772778230014,0.295596348926896,1.0
F1S4_160106_045_C01,2.8095849,-2.3011224,1.4470783,0.24636535773767207,0.3687927528296858,1.0
F1S4_160106_045_D01,-0.3381268,0.6100425,-2.498645,1.0,0.25572832279875246,0.4760063190392225
F1S4_160106_045_E01,2.6780832,-2.2777474,1.5007373,0.24636535773767207,0.3687927528296858,1.0
F1S4_160106_045_F01,-1.0700965,-0.525802,-3.5447953,1.0,0.25572832279875246,0.4760063190392225
F1S4_160106_045_G01,2.621939,-2.030438,1.1165177,0.2086602341597814,0.4197438054627699,1.0
F1S4_160106_046_A01,-1.2556702,-1.011465,-1.7350972,1.0,0.3373796031870022,0.3326952827850527
F1S4_160106_046_C01,3.039618,-2.2125578,1.2837759,0.402092144478307,0.30093117562096483,1.0
F1S4_160106_046_E01,-0.769779,-0.00040929473,1.471266,1.0,0.3373796031870022,0.3326952827850527
F1S4_160106_046_F01,-0.52094257,0.16748704,-0.9679489,1.0,0.25572832279875246,0.4760063190392225
F1S4_160106_046_G01,3.9239397,-2.6821084,1.7392037,0.41587772778230014,0.295596348926896,1.0
F1S4_160106_047_A01,-2.2472713,-3.7490861,4.743222,0.28276695447006667,1.0,0.433867236810063
F1S4_160106_047_B01,3.447767,-2.6103318,1.9507421,0.41587772778230014,0.295596348926896,1.0
F1S4_160106_047_D01,3.0894814,-2.231301,1.3025218,0.402092144478307,0.30093117562096483,1.0
F1S4_160106_047_F01,3.516753,-2.3785596,1.3374331,0.3893506178451055,0.266832759059094,1.0
F1S4_160106_047_G01,-0.6134492,1.0291078,-1.4817553,0.3960849831639399,0.1653365223938808,1.0
F1S4_160106_047_H01,3.3887887,-2.5397778,2.0067005,0.41587772778230014,0.295596348926896,1.0
F1S4_160106_048_A01,2.163458,-0.65034527,-0.3071124,0.3295081362657007,0.3094173487994324,1.0
F1S4_160106_048_B01,2.9553328,-0.8607967,-0.27576214,0.4509751858900062,0.16211762544093464,1.0
F1S4_160106_048_D01,-1.2349374,-2.3939133,1.5359368,0.20247176390180455,0.29509650960053385,1.0
F1S4_160106_048_E01,-0.81429774,-0.047553882,0.78372717,1.0,0.25572832279875246,0.4760063190392225
F1S4_160106_051_A01,-0.79097986,0.2807009,-4.2129526,1.0,0.3373796031870022,0.3326952827850527
F1S4_160106_051_B01,-0.30925393,-0.64693576,-0.1653289,0.402092144478307,0.30093117562096483,1.0
F1S4_160106_051_E01,0.5121024,1.2917825,-1.8230135,0.402092144478307,0.30093117562096483,1.0
F1S4_160106_051_F01,2.9638724,-2.1764379,1.2875108,0.402092144478307,0.30093117562096483,1.0
F1S4_160106_051_G01,3.677812,-2.440183,1.3495051,0.2086602341597814,0.4197438054627699,1.0
F1S4_160106_051_H01,-2.0936298,-3.6317742,4.673646,0.28276695447006667,1.0,0.433867236810063
F1S4_160106_052_A01,1.7258611,0.92045075,2.0495985,0.5,0.5,0.5
F1S4_160106_052_B01,1.3238916,0.5101635,2.0417967,0.41587772778230014,0.295596348926896,1.0
F1S4_160106_052_E01,-1.0903369,-0.9748982,-2.6394467,1.0,0.3373796031870022,0.3326952827850527
F1S4_160106_052_F01,2.9537952,-2.4412298,1.8011954,0.41587772778230014,0.295596348926896,1.0
F1S4_160106_052_H01,-2.318039,-3.8332088,4.859017,0.26837643626766045,1.0,0.3688151106171106
F1S4_160106_053_A01,-2.038335,-3.7998815,4.6177526,0.28276695447006667,1.0,0.433867236810063
F1S4_160106_053_B01,0.004739001,1.3999194,-0.18281552,1.0,0.25572832279875246,0.4760063190392225
F1S4_160106_053_D01,0.42871177,2.793046,-3.6758914,0.14418424820537157,0.2789969756969713,1.0
F1S4_160106_053_E01,-1.2651287,-1.4025246,-0.90720016,1.0,0.3373796031870022,0.3326952827850527
F1S4_160106_053_F01,-1.1737069,-2.9928694,2.586516,0.2086602341597814,0.4197438054627699,1.0
F1S4_160106_054_A01,2.6947196,-0.6656949,-0.4231558,0.11589191808959907,0.3386778716244373,1.0
F1S4_160106_054_C01,1.2347627,-1.4840096,2.1192787,0.20184020243018944,0.42412570409940353,1.0
F1S4_160106_054_E01,3.8828955,-2.6147218,1.6215012,0.3893506178451055,0.266832759059094,1.0
F1S4_160106_055_B01,3.172995,-2.0921755,0.9867596,0.2086602341597814,0.4197438054627699,1.0
F1S4_160106_055_D01,-1.2370186,-0.6311645,-3.2573402,1.0,0.3373796031870022,0.3326952827850527
F1S4_160106_055_E01,-0.42954168,-0.8757768,-1.6641028,1.0,0.25572832279875246,0.4760063190392225
F1S4_160106_055_F01,-0.24714074,1.6850709,-3.9846678,1.0,0.25572832279875246,0.4760063190392225
F1S4_160106_055_H01,3.4669523,-2.6202483,1.9471495,0.41587772778230014,0.295596348926896,1.0
F1S4_160106_056_B01,-0.7635287,0.9216982,-3.7479491,1.0,0.3373796031870022,0.3326952827850527
F1S4_160106_056_C01,-0.23114164,1.009001,-3.0846379,1.0,0.25572832279875246,0.4760063190392225
F1S4_160106_056_H01,-0.7052578,0.5291883,-2.4767277,1.0,0.3373796031870022,0.3326952827850527
F1S4_160106_057_C01,3.8775778,-2.5658033,1.5282817,0.2086602341597814,0.4197438054627699,1.0
F1S4_160106_057_F01,2.8988526,-2.2893965,1.4239799,0.24636535773767207,0.3687927528296858,1.0
F1S4_160106_057_H01,-0.56388193,0.5504424,-2.9526038,1.0,0.3373796031870022,0.3326952827850527
F1S4_160106_058_F01,-1.2224418,-0.7843598,-0.79851294,0.20247176390180455,0.29509650960053385,1.0
F1S4_160106_058_G01,2.6481104,-0.80426425,-0.30439252,0.11589191808959907,0.3386778716244373,1.0
F1S4_160106_059_B01,3.3529253,-2.3206773,1.2191901,0.2086602341597814,0.4197438054627699,1.0
F1S4_160106_059_C01,-0.5842825,0.406245,-1.5604867,1.0,0.25572832279875246,0.4760063190392225
F1S4_160106_059_D01,1.5044584,0.81799144,1.9116632,0.3752994204082968,0.30503819657948156,1.0
F1S4_160106_059_G01,0.37246704,2.756875,-3.6699038,0.18601323565749014,0.32257276054900796,1.0
F1S4_160106_060_B01,3.6310081,-2.3983953,1.2995181,0.3893506178451055,0.266832759059094,1.0
F1S4_160106_060_D01,0.37524855,1.1534227,-1.7055533,0.38378838936690396,0.14817016085395782,1.0
F1S4_160106_060_E01,3.6045291,-2.4445672,1.3534815,0.24636535773767207,0.3687927528296858,1.0
F1S4_160106_060_F01,1.5426761,0.9252164,1.8131124,0.3752994204082968,0.30503819657948156,1.0
F1S4_160106_060_G01,1.0394889,1.6390623,-0.25775146,0.18601323565749014,0.32257276054900796,1.0
F1S4_160106_061_A01,2.9408443,-2.2149985,1.3008683,0.2086602341597814,0.4197438054627699,1.0
F1S4_160106_061_B01,3.4379427,-2.6306086,1.8100624,0.41587772778230014,0.295596348926896,1.0
F1S4_160106_061_C01,-0.92363465,-0.020853871,0.781908,1.0,0.25572832279875246,0.4760063190392225
F1S4_160106_061_E01,-0.65174717,0.1622161,-2.1837742,1.0,0.3373796031870022,0.3326952827850527
F1S4_160106_061_G01,2.816194,-2.2664707,1.4278797,0.41587772778230014,0.295596348926896,1.0
F1S4_160106_062_A01,-2.197356,-3.6899767,4.670473,0.28276695447006667,1.0,0.433867236810063
F1S4_160106_062_B01,-0.49850413,1.4172192,-3.7825856,1.0,0.3373796031870022,0.3326952827850527
F1S4_160106_062_D01,-1.2008675,-3.0588534,1.218005,0.402092144478307,0.30093117562096483,1.0
F1S4_160106_062_E01,-1.272772,-1.9173067,2.1447742,0.24636535773767207,0.3687927528296858,1.0
F1S4_160106_062_H01,-0.7159329,-0.90527916,-0.92539084,1.0,0.3373796031870022,0.3326952827850527
F1S4_160106_063_E01,-1.0792286,-1.0271016,0.9385028,1.0,0.25572832279875246,0.4760063190392225
F1S4_160106_063_H01,-1.1925613,-0.85308206,-2.3278282,1.0,0.3373796031870022,0.3326952827850527
F1S4_160106_064_A01,3.044522,-2.1636603,1.1669378,0.24636535773767207,0.3687927528296858,1.0
F1S4_160106_064_B01,-0.29548684,-0.004110003,-1.6688812,1.0,0.3373796031870022,0.3326952827850527
F1S4_160106_064_D01,0.5312601,3.066818,-4.0415306,0.38378838936690396,0.14817016085395782,1.0
F1S4_160106_064_E01,3.5190601,-2.4406974,1.4548721,0.41587772778230014,0.295596348926896,1.0
F1S4_160106_065_B01,-0.503745,0.25423056,-2.2924812,1.0,0.25572832279875246,0.4760063190392225
F1S4_160106_065_C01,1.0635964,-1.677216,2.1648018,0.20184020243018944,0.42412570409940353,1.0
F1S4_160106_065_D01,-1.0357805,-1.0825996,0.63303095,1.0,0.3373796031870022,0.3326952827850527
F1S4_160106_065_E01,-0.82396525,0.14566343,-2.237041,1.0,0.3373796031870022,0.3326952827850527
F1S4_160106_065_F01,3.2206678,-2.5148482,1.8372062,0.41587772778230014,0.295596348926896,1.0
F1S4_160106_066_B01,-0.46719396,0.19485487,-2.0420847,1.0,0.25572832279875246,0.4760063190392225
F1S4_160106_066_C01,-1.0325972,-0.5849589,0.1817392,1.0,0.3373796031870022,0.3326952827850527
F1S4_160106_066_F01,3.0429487,-2.3883593,1.602082,0.41587772778230014,0.295596348926896,1.0
F1S4_160106_066_G01,1.287944,0.4291796,2.0453641,0.3153696884766596,0.48215005246984477,1.0
F1S4_160106_066_H01,-0.58362424,-0.87221706,0.5781003,0.1858997225243797,0.4525229710216009,1.0
F1S4_160106_067_C01,1.3849316,-1.2019298,2.1745658,0.20184020243018944,0.42412570409940353,1.0
F1S4_160106_067_D01,0.14812009,2.5292919,-3.177977,0.4509751858900062,0.16211762544093464,1.0
F1S4_160106_067_E01,-0.26581854,0.4377192,-1.7571256,1.0,0.3373796031870022,0.3326952827850527
F1S4_160106_067_F01,-1.183583,-2.0239332,2.0229597,0.2086602341597814,0.4197438054627699,1.0
F1S4_160106_067_G01,-1.2237188,-0.7002621,-3.0524006,1.0,0.3373796031870022,0.3326952827850527
F1S4_160106_067_H01,-2.1256495,-3.8032258,4.578531,0.26837643626766045,1.0,0.3688151106171106
F1S4_160106_068_A01,-0.40919632,0.80082846,-0.35788774,1.0,0.25572832279875246,0.4760063190392225
F1S4_160106_068_B01,3.0801315,-1.9521495,0.9376474,0.25303731561543935,0.19215328395893494,1.0
F1S4_160106_068_D01,3.2801712,-2.30547,1.1911424,0.24636535773767207,0.3687927528296858,1.0
F1S4_160106_068_E01,3.551772,-2.6026363,1.8266556,0.41587772778230014,0.295596348926896,1.0
F1S4_160106_068_F01,-1.1200752,-0.44267395,-0.156577,1.0,0.3373796031870022,0.3326952827850527
F1S4_160106_068_G01,-1.2647718,-1.3711268,-2.6992114,0.4509751858900062,0.16211762544093464,1.0
F1S4_160106_068_H01,-2.1274729,-3.678092,4.8015113,0.28276695447006667,1.0,0.433867236810063
F1S4_160106_069_A01,-1.2355129,-2.057989,2.4357424,0.18064387085652425,1.0,0.2992979742094791
F1S4_160106_069_B01,-0.9914919,0.23810425,-2.181904,1.0,0.3373796031870022,0.3326952827850527
F1S4_160106_069_C01,-0.9378141,-0.39824438,-3.9241884,0.5,0.5,0.5
F1S4_160106_069_D01,-0.3366893,0.20884404,-2.1898599,1.0,0.25572832279875246,0.4760063190392225
F1S4_160106_069_E01,-1.3531554,-0.51122016,-3.1292896,0.402092144478307,0.30093117562096483,1.0
F1S4_160106_069_F01,1.0406634,1.7336024,-0.25834242,0.38378838936690396,0.14817016085395782,1.0
F1S4_160106_069_G01,3.4373224,-2.318976,1.2283849,0.3893506178451055,0.266832759059094,1.0
F1S4_160106_069_H01,3.0480955,-2.129974,1.192498,0.25303731561543935,0.19215328395893494,1.0
F1S4_160106_070_C01,3.481822,-2.092506,1.0175259,0.5,0.5,0.5
F1S4_160106_070_F01,-1.2068257,-3.4853919,1.4433136,0.3752994204082968,0.30503819657948156,1.0
F1S4_160106_070_G01,-1.0928196,-1.6777542,2.099592,1.0,0.25572832279875246,0.4760063190392225
F1S4_160106_070_H01,-0.5704567,1.2705952,-4.025852,1.0,0.3373796031870022,0.3326952827850527
F1S4_160106_071_A01,-5.4929857,-1.5415605,4.070071,0.41333258828085595,1.0,0.28123283104890284
F1S4_160106_071_C01,2.6927352,-2.2883627,1.4596463,0.5,0.5,0.5
F1S4_160106_071_D01,-1.1146414,-0.38942003,-3.4305487,1.0,0.3373796031870022,0.3326952827850527
F1S4_160106_071_E01,3.6184723,-2.6487694,1.8486226,0.41587772778230014,0.295596348926896,1.0
F1S4_160106_071_F01,0.027077477,2.3503256,-4.5725794,1.0,0.3373796031870022,0.3326952827850527
F1S4_160106_071_G01,-0.54816145,0.7318422,-2.7857378,1.0,0.3373796031870022,0.3326952827850527
F1S4_160106_071_H01,-1.2756565,-0.9613125,-0.2479508,1.0,0.25572832279875246,0.4760063190392225
F1S4_160106_072_A01,-2.1980076,-3.7664511,4.690824,0.28276695447006667,1.0,0.433867236810063
F1S4_160106_072_B01,3.400797,-2.4604557,1.5404335,0.3893506178451055,0.266832759059094,1.0
F1S4_160106_072_C01,2.9163387,-0.766744,-0.3531266,0.4509751858900062,0.16211762544093464,1.0
F1S4_160106_072_D01,-1.1454536,-1.5174776,2.047148,0.20247176390180455,0.29509650960053385,1.0
F1S4_160106_072_G01,-0.67741275,0.86038566,-3.6691606,1.0,0.3373796031870022,0.3326952827850527
F1S4_160218_025_A01,-1.021439,-0.8701662,-4.332121,0.3169031586903167,0.3125572664741326,1.0
F1S4_160218_025_B01,0.31370485,0.14123139,-0.95398676,0.143502626786787,0.2633268666155584,1.0
F1S4_160218_025_D01,-0.11833278,1.9067221,-4.3937044,1.0,0.4830966758414831,0.11485021243592852
F1S4_160218_025_E01,0.48558074,2.9336302,-5.2917376,1.0,0.4632893908800042,0.32263441783569236
F1S4_160218_025_H01,-5.2654014,-1.5238104,3.98779,0.41333258828085595,1.0,0.28123283104890284
F1S4_160218_026_A01,-0.030557215,0.21124771,-1.5470836,0.3169031586903167,0.3125572664741326,1.0
F1S4_160218_026_B01,-0.6009504,1.0749688,-3.4007611,1.0,0.1427311340244346,0.3642226492586331
F1S4_160218_026_D01,-0.5430807,0.5141421,-5.548968,1.0,0.3373796031870022,0.3326952827850527
F1S4_160218_026_E01,-0.5546545,0.8292003,-3.1836357,1.0,0.4830966758414831,0.11485021243592852
F1S4_160218_026_G01,0.09461595,0.08343916,-2.829192,0.5,0.5,0.5
F1S4_160218_026_H01,-2.1949282,-3.6854901,4.786561,0.28276695447006667,1.0,0.433867236810063
F1S4_160218_027_A01,-0.35766253,0.8742022,-5.695257,1.0,0.18265072867954016,0.41425121641367113
F1S4_160218_027_B01,0.46736556,2.7935662,-5.9297304,1.0,0.11533126491095849,0.18552008485746108
F1S4_160218_027_H01,-0.11111484,0.25325748,-2.0580237,0.18064387085652425,1.0,0.2992979742094791
F1S4_160218_028_A01,-0.1866068,1.8548288,-4.391373,0.43798152839956483,0.3423912271765803,1.0
F1S4_160218_028_B01,0.12394753,2.2144072,-4.017,0.25303731561543935,0.19215328395893494,1.0
F1S4_160218_028_F01,-1.0445482,-3.6005173,1.3065559,0.3063233353409832,0.3682593073420669,1.0
F1S4_160218_028_H01,-5.4750466,-1.5411918,4.0841975,0.41333258828085595,1.0,0.28123283104890284
F1S4_160218_029_E01,0.3307278,2.5819898,-5.1303096,0.3752994204082968,0.30503819657948156,1.0
F1S4_160218_029_F01,0.028165583,2.1107364,-4.3052316,1.0,0.4830966758414831,0.11485021243592852
F1S4_160218_029_G01,0.27757168,1.4891236,-3.4519017,0.3063233353409832,0.3682593073420669,1.0
F1S4_160218_030_A01,-0.90486455,-0.38867205,-4.3324704,1.0,0.4830966758414831,0.11485021243592852
F1S4_160218_030_B01,0.31063923,0.35289586,-2.4902556,0.3169031586903167,0.3125572664741326,1.0
F1S4_160218_030_E01,-0.56827855,-0.08776525,-2.1928046,1.0,0.4830966758414831,0.11485021243592852
F1S4_160218_030_F01,-5.233884,-1.4962794,3.973107,0.41333258828085595,1.0,0.28123283104890284
F1S4_160218_030_G01,0.5032563,2.958831,-5.4530215,1.0,0.18265072867954016,0.41425121641367113
F1S4_160218_030_H01,-2.0099237,-3.6668472,4.523254,0.5,0.5,0.5
F1S4_160218_031_B01,0.07601932,2.388435,-3.9137952,1.0,0.4632893908800042,0.32263441783569236
F1S4_160218_031_C01,-0.4741884,0.6266147,-5.622291,1.0,0.3373796031870022,0.3326952827850527
F1S4_160218_031_D01,0.47784856,2.8905063,-5.557751,1.0,0.11533126491095849,0.18552008485746108
F1S4_160218_031_F01,-0.91667867,-0.8626796,-3.8817356,1.0,0.4830966758414831,0.11485021243592852
F1S4_160218_031_H01,-1.257912,-3.4088564,1.8638276,0.18064387085652425,1.0,0.2992979742094791
F1S4_160218_032_A01,-0.34947136,0.86869276,-5.6892257,1.0,0.18265072867954016,0.41425121641367113
F1S4_160218_032_B01,-1.0002899,-0.4160751,-2.0513072,1.0,0.24314639860041562,0.2796108519607472
