,x,y,z,r,g,b
0,2.6968822,-6.509217,7.4121532,0.17139561707035755,0.581514801999231,0.2979008073817762
1,-2.104084,-2.2598283,6.398432,0.9835755478662053,0.4127950788158401,0.28835063437139563
2,-2.7212214,-2.9744544,5.2644715,0.9881891580161477,0.5707035755478662,0.44521337946943484
3,-2.299013,-3.140229,4.9076843,0.9882352941176471,0.732072279892349,0.6299269511726259
4,2.1623282,-7.9361386,8.183599,0.17139561707035755,0.581514801999231,0.2979008073817762
5,1.8355212,-8.274841,6.438133,0.17139561707035755,0.581514801999231,0.2979008073817762
6,1.5851324,-7.1386075,7.8550324,0.17139561707035755,0.581514801999231,0.2979008073817762
7,1.9246193,-8.390161,6.7242126,0.17139561707035755,0.581514801999231,0.2979008073817762
8,1.4202256,-6.362616,5.5654893,0.17139561707035755,0.581514801999231,0.2979008073817762
9,-2.2313554,-2.6365707,6.579452,0.6403844675124952,0.05720876585928489,0.08149173394848133
10,-1.5259229,-3.4021325,6.338994,0.6403844675124952,0.05720876585928489,0.08149173394848133
11,-0.7200856,-4.6603484,5.6721835,0.9137254901960784,0.3686274509803921,0.050980392156862744
12,-0.2964656,-5.001532,5.862254,0.9914186851211073,0.550726643598616,0.23277201076509035
13,-0.5312361,-4.482205,4.5947285,0.41708573625528644,0.6806305267204922,0.8382314494425221
14,2.806553,-8.426205,8.195839,0.17139561707035755,0.581514801999231,0.2979008073817762
15,2.491222,-7.359896,8.192528,0.17139561707035755,0.581514801999231,0.2979008073817762
16,2.771621,-8.702817,7.579619,0.17139561707035755,0.581514801999231,0.2979008073817762
17,2.6681526,-6.746641,7.8716807,0.17139561707035755,0.581514801999231,0.2979008073817762
18,0.73415,-6.9700193,5.6964526,0.5573241061130334,0.8164244521337947,0.546958861976163
19,2.386791,-8.5098095,6.7366786,0.17139561707035755,0.581514801999231,0.2979008073817762
20,1.6594748,-7.3500113,5.856461,0.3388235294117647,0.7117262591311034,0.40584390618992694
21,1.7522175,-7.966907,7.657396,0.17139561707035755,0.581514801999231,0.2979008073817762
22,1.5608181,-8.254635,6.8893013,0.17139561707035755,0.581514801999231,0.2979008073817762
23,1.6540083,-6.550413,7.101233,0.17139561707035755,0.581514801999231,0.2979008073817762
24,-2.914558,-2.878106,5.5944653,0.9344867358708189,0.2286812764321415,0.17139561707035755
25,-2.5131462,-2.5190372,6.1705747,0.9344867358708189,0.2286812764321415,0.17139561707035755
26,-2.9880323,-2.8952916,5.96819,0.9344867358708189,0.2286812764321415,0.17139561707035755
27,-2.1133666,-1.9321258,6.6905146,0.9835755478662053,0.4127950788158401,0.28835063437139563
28,-2.7995586,-2.8535182,5.8341036,0.9344867358708189,0.2286812764321415,0.17139561707035755
29,1.6064218,-8.189101,6.514227,0.17139561707035755,0.581514801999231,0.2979008073817762
30,2.3838348,-8.245206,6.524208,0.17139561707035755,0.581514801999231,0.2979008073817762
31,1.6095388,-7.642537,6.271989,0.17139561707035755,0.581514801999231,0.2979008073817762
32,-2.8992364,-2.9583902,5.7253413,0.9344867358708189,0.2286812764321415,0.17139561707035755
33,-1.8858396,-3.382965,4.7207656,0.9881891580161477,0.5707035755478662,0.44521337946943484
34,-2.2804208,-2.4800038,6.537984,0.6403844675124952,0.05720876585928489,0.08149173394848133
35,-2.2166119,-2.5402567,5.958059,0.6403844675124952,0.05720876585928489,0.08149173394848133
36,-3.0241551,-2.8033352,5.8541627,0.7925720876585928,0.09328719723183392,0.11298731257208766
37,2.6313343,-8.657667,6.6203384,0.17139561707035755,0.581514801999231,0.2979008073817762
38,1.174649,-7.785893,7.288447,0.5573241061130334,0.8164244521337947,0.546958861976163
39,2.8325467,-7.7130713,7.8243685,0.17139561707035755,0.581514801999231,0.2979008073817762
40,1.2624475,-7.6640677,7.8270555,0.17139561707035755,0.581514801999231,0.2979008073817762
41,1.543167,-7.8873825,8.063564,0.17139561707035755,0.581514801999231,0.2979008073817762
42,2.1757545,-8.280859,6.1513376,0.17139561707035755,0.581514801999231,0.2979008073817762
43,2.6785681,-7.44239,7.589784,0.17139561707035755,0.581514801999231,0.2979008073817762
44,-2.3868701,-2.8819458,5.897222,0.9344867358708189,0.2286812764321415,0.17139561707035755
45,-2.429918,-2.2939303,6.5300155,0.9835755478662053,0.4127950788158401,0.28835063437139563
46,-2.8881953,-2.9268904,5.704263,0.9344867358708189,0.2286812764321415,0.17139561707035755
47,-2.0425894,-2.1483037,6.4177494,0.9835755478662053,0.4127950788158401,0.28835063437139563
48,-2.651358,-2.972589,5.238576,0.7925720876585928,0.09328719723183392,0.11298731257208766
49,-1.6599997,-2.5970254,5.6719,0.7925720876585928,0.09328719723183392,0.11298731257208766
50,-3.0224304,-2.9923244,5.991332,0.9344867358708189,0.2286812764321415,0.17139561707035755
51,2.120371,-8.577576,6.863296,0.17139561707035755,0.581514801999231,0.2979008073817762
